claimset,tape,claim_id,valued,outcomes,n_cells,sign_change,mag_change,CHANGES_READING,src,line,text
C_VALUED,T_REALRAND,1,True,O_OOSSH,3,False,False,False,research/LEADERBOARD.md,28,"| 2026-09-15 | 879 lane B **4b KEEP-CANDIDATE, memo filed and adoption DECLINED**: U56 TOP20 (top 20 eligible by the v1 composite without the vol scaler) at gross **0.65**, monthly | **12.69%** (OOS **14.38%**) | **1.201** (halves **1.215 / 1.198**, OOS **1.281**) | **−17.11%** | 1.215 / 1.198 | SPY"
C_VALUED,T_REALRAND,3,True,O_DD,3,True,False,True,research/LEADERBOARD.md,133,"quartile hit 0.817 -> 0.675 all-stock -> all-ETF at k=20 | n/a | `slope ~ e + k` clustered on sub-panel (n=186): **b_e -0.142 (t -1.94), b_k +0.0018/name (t +2.69)**, R2 0.170 | **both dials are real and signed as guessed, but neither can produce a zero slope — they cannot explain a gap that does no"
C_VALUED,T_REALRAND,4,True,O_OOSSH,3,False,False,False,research/LEADERBOARD.md,147,"| 2026-09-07 | 378 ORDERING clause re-tested on MEASURED width vs the NOMINAL dial (24 rungs x 16 arms) | n/a | n/a | n/a | n/a | n/a | spearman(IS rate list, OOS rate list) pooled by MEASURED holdings is **MONOTONE — +0.0448 (<20, n=14) / +0.4726 (20-40, n=4) / +0.6948 (>=40, n=6)**, reproducing id"
C_VALUED,T_REALRAND,7,True,O_SHARPE,3,False,True,True,research/LEADERBOARD.md,1513,| 2026-09-04 | 26 u56 top20 + 25pct sleeve (natural) | 10.8% | 1.09 | -16.0% | 1.06 / 1.11 | 0.66 (0.64/0.69) | 4b PASS but rule-8 unselectable (IS Sharpe monotone falling in f) | 2026-09-04_ensemble-plus-momentum_C.py |
C_VALUED,T_REALRAND,10,True,O_SHARPE,3,False,True,True,research/LEADERBOARD.md,1671,| 2026-09-05 | 99 premise check — sleeve monotonicity (idea 26's claim) | n/a | n/a | n/a | n/a | n/a | **FALSIFIED 0/4 books.** IS Sharpe is hump-shaped with an interior max at f=0.50 in 4/4 (u56/top20 1.012 1.060 1.077 0.938 0.271);
C_VALUED,T_REALRAND,11,True,O_SHARPE;O_OOSSH,6,False,False,False,research/LEADERBOARD.md,1767,"| 2026-09-05 | 120 rule-8 WF pick S1 (argmax IS Sharpe, $5M floor): n=20 g=1.00 | -4.7% | -0.038 | -83.4% | 0.34 / -0.31 | SPY OOS 15.5%/0.882/-33.7%;"
C_VALUED,T_REALRAND,13,True,O_SHARPE;O_DD;O_CAGR,9,True,True,True,research/LEADERBOARD.md,1905,"| 2026-09-05 | 144 is a rescale the same book? Sharpe invariance and monotonicity along 306 gross families | n/a | n/a | n/a | n/a | cross-book Sharpe sd 0.319 | **True only for scale-free instruments.** PURE (ctl/gate/stop, n=234): CAGR monotone 228/234, MaxDD monotone 234/234, max Sharpe range **0"
C_VALUED,T_REALRAND,14,True,O_SHARPE,3,False,True,True,research/LEADERBOARD.md,1905,"SCALE-DEP (ddctl/ebud, n=72): monotone 27/72 and 35/72, max Sharpe range **0.2924**."
C_VALUED,T_REALRAND,15,True,O_SHARPE,3,False,True,True,research/LEADERBOARD.md,1913,"Spearman(Sharpe range, |premium|) = +0.007** (range vs premium +0.021, vs regret +0.086, n=54)."
C_VALUED,T_REALRAND,16,True,O_SHARPE;O_OOSSH,6,False,False,False,research/LEADERBOARD.md,2001,"| 2026-09-05 | 90R independent concurrent replication — agreement with the parallel lane-B idea-90 run | n/a | n/a | n/a | n/a | two implementations written independently | **AGREE on every shared number**: 72 non-empty books, contiguity 72/72 at the published bars, idea 144's corpus to its own 6dp,"
C_VALUED,T_REALRAND,17,True,O_SHARPE,3,False,True,True,research/LEADERBOARD.md,2005,"RULES v1 on B136 6.4%/0.635/-21.2% | **The gross payoff REVERSES after costs**: net Sharpe premium -0.088/-0.165/-0.173 at n=5 and +0.048/+0.013/-0.043 at n=20, Spearman(k, premium) **-0.358 / -0.601**."
C_VALUED,T_REALRAND,18,True,O_OOSSH,3,False,False,False,research/LEADERBOARD.md,2014,"| 2026-09-05 | 152 gross ladder, broad @10bps POS n=20, m=0.70 (the best point in the 4b interval) | 14.9% | 1.051 | -20.0% | 1.196 / 0.926 | SPY halves 0.957/0.834, OOS 0.882;"
C_VALUED,T_REALRAND,19,True,O_OOSSH,3,False,False,False,research/LEADERBOARD.md,2026,"RULES v1 OOS 0.662 | **S2 (IS-argmax over FIXQ) is LAST of five and loses to RANDOM by 0.256.** S0 do-nothing n=20 **0.9356**, S4 random 0.9580, S3 FIXN-only 0.9322, S1 all-arms 0.8000, **S2 FIXQ-only 0.7019**."
C_VALUED,T_REALRAND,22,True,O_OOSSH,3,False,False,False,research/LEADERBOARD.md,2092,"| 2026-09-05 | 170cloud is-0.75-the-argmax-on-every-corpus — per-book OOS-margin argmax, 51 books (3 panels × {RANKED n=5/10/20/40, EWALL} + 12 k=40 draws each) × 10-point gross ladder | n/a | n/a | n/a | n/a | idea 166's 300-book B136 corpus (peak 0.110 at 0.75) | **KILL of the promotion: the OOS a"
C_VALUED,T_REALRAND,23,True,O_SHARPE;O_DD;O_CAGR;O_OOSSH,12,True,True,True,research/LEADERBOARD.md,2171,"| 2026-09-05 | 178 MECHANISM (answers idea 163 directly) — the 14 changed arm-cells decomposed on OOS CAGR / Sharpe / MaxDD against their own cell's control | n/a | n/a | OOS \|MaxDD\| falls in **14 of 14** (−1.22 to −4.36 pp) | n/a | control picks n = 4, 9, 14 | **The screen pays through DRAWDOWN, "
C_VALUED,T_REALRAND,24,True,O_SHARPE;O_DD;O_OOSSH,9,True,False,True,research/LEADERBOARD.md,2210,| 2026-09-05 | 199 C159/broad@10bps S0 IS-Sharpe argmax (control) = R6@0.15 (n=14) | 14.9% | 0.99 | -21.1% | 1.24 / 0.78 | 0.63 (0.76/0.53) | PASS 4a / KILL 4b (H2|OOS|DD) | 2026-09-05_the-screen-is-a-book-size-rule_cloud.py |
C_VALUED,T_REALRAND,25,True,O_SHARPE;O_DD;O_OOSSH,9,True,False,True,research/LEADERBOARD.md,2213,| 2026-09-05 | 199 C159/broad@25bps S0 IS-Sharpe argmax (control) = R6@0.15 (n=14) | 12.3% | 0.84 | -21.2% | 1.09 / 0.63 | 0.22 (0.34/0.12) | PASS 4a / KILL 4b (H2|OOS|DD) | 2026-09-05_the-screen-is-a-book-size-rule_cloud.py |
C_VALUED,T_REALRAND,26,True,O_SHARPE;O_DD;O_CAGR;O_OOSSH,12,True,True,True,research/LEADERBOARD.md,2216,| 2026-09-05 | 199 C159/small@10bps S0 IS-Sharpe argmax (control) = INV@0.15 (n=21) | 5.8% | 0.50 | -34.5% | 0.85 / 0.22 | 0.60 (0.69/0.53) | KILL 4a / KILL 4b (H1|H2|OOS|DD|CAGR) | 2026-09-05_the-screen-is-a-book-size-rule_cloud.py |
C_VALUED,T_REALRAND,27,True,O_SHARPE;O_DD;O_CAGR;O_OOSSH,12,True,True,True,research/LEADERBOARD.md,2219,| 2026-09-05 | 199 C159/small@25bps S0 IS-Sharpe argmax (control) = RND@0.05 (n=7) | 4.6% | 0.32 | -42.9% | 0.61 / 0.07 | 0.26 (0.32/0.21) | KILL 4a / KILL 4b (H1|H2|OOS|DD|CAGR) | 2026-09-05_the-screen-is-a-book-size-rule_cloud.py |
C_VALUED,T_REALRAND,28,True,O_SHARPE;O_DD,6,True,False,True,research/LEADERBOARD.md,2222,| 2026-09-05 | 199 C159/u56@10bps S0 IS-Sharpe argmax (control) = R6@0.1 (n=4) | 19.7% | 1.03 | -22.4% | 1.08 / 0.99 | 0.66 (0.64/0.69) | KILL 4a / KILL 4b (DD) | 2026-09-05_the-screen-is-a-book-size-rule_cloud.py |
C_VALUED,T_REALRAND,29,True,O_SHARPE;O_DD;O_OOSSH,9,True,False,True,research/LEADERBOARD.md,2225,| 2026-09-05 | 199 C159/u56@25bps S0 IS-Sharpe argmax (control) = R6@0.1 (n=4) | 16.5% | 0.89 | -23.1% | 0.94 / 0.85 | 0.32 (0.28/0.35) | KILL 4a / KILL 4b (H1|OOS|DD) | 2026-09-05_the-screen-is-a-book-size-rule_cloud.py |
C_VALUED,T_REALRAND,30,True,O_SHARPE;O_DD,6,True,False,True,research/LEADERBOARD.md,2228,| 2026-09-05 | 199 C165/u56@10bps S0 IS-Sharpe argmax (control) = R6@0.1 (n=4) | 19.7% | 1.03 | -22.4% | 1.08 / 0.99 | 0.66 (0.64/0.69) | KILL 4a / KILL 4b (DD) | 2026-09-05_the-screen-is-a-book-size-rule_cloud.py |
C_VALUED,T_REALRAND,31,True,O_SHARPE;O_DD;O_OOSSH,9,True,False,True,research/LEADERBOARD.md,2231,| 2026-09-05 | 199 C168/broad@10bps S0 IS-Sharpe argmax (control) = 0.25@0.1 (n=9) | 17.4% | 0.98 | -23.2% | 1.23 / 0.77 | 0.63 (0.76/0.53) | KILL 4a / KILL 4b (H2|OOS|DD) | 2026-09-05_the-screen-is-a-book-size-rule_cloud.py |
C_VALUED,T_REALRAND,32,True,O_SHARPE;O_DD;O_OOSSH,9,True,False,True,research/LEADERBOARD.md,2234,| 2026-09-05 | 199 C168/broad@25bps S0 IS-Sharpe argmax (control) = 0.25@0.1 (n=9) | 14.1% | 0.82 | -23.2% | 1.07 / 0.61 | 0.22 (0.34/0.12) | PASS 4a / KILL 4b (H2|OOS|DD) | 2026-09-05_the-screen-is-a-book-size-rule_cloud.py |
C_VALUED,T_REALRAND,33,True,O_SHARPE;O_DD,6,True,False,True,research/LEADERBOARD.md,2237,| 2026-09-05 | 199 C168/u56@10bps S0 IS-Sharpe argmax (control) = 0.0@0.1 (n=4) | 19.5% | 1.01 | -24.3% | 1.07 / 0.98 | 0.66 (0.64/0.69) | KILL 4a / KILL 4b (DD) | 2026-09-05_the-screen-is-a-book-size-rule_cloud.py |
