gate,value,target,pass_
G7 exactly two tuned parameters,"k, tranche assignment salt s",2,True
G0 >= 10y (U56),"17.7y scored, 56 investable, 4710 rows",>= 10y,True
G0 >= 10y (B136),"17.7y scored, 136 investable, 4708 rows",>= 10y,True
"G2 the gate IS baseline.band_state (live clause 2), unmodified",0 differing cells; mean names IN 36,0,True
G1 per-column replica == engine.backtest (live RULES v2 through the DAMP runner at lam=1),max|d| 8.674e-19,< 1e-12,True
G3 k = 1 (all 4 salts) AND lam = 1.00 == an independent CAP2 construction through engine.backtest,max|d| 1.388e-17,< 1e-12,True
"G8 the weight path is causal (panel truncated at 2021-02-05, k=4 s=0)",max|dr| 0.000e+00,< 1e-12,True
G4 no leverage anywhere (realised row sums),max gross 1.000000000,<= 1+1e-12,True
"G4b the rota's OWN artifact: rebalances at which the STALE equity sleeve already summed to > 1 of NAV and had to be de-grossed pro rata (never a source of leverage, but it means the rota does not always reach its target even in the tranche it trades)","5391 such rebalances over 136 books; 49 books affected, all at gross [0.75, 1.0]; worst single book 205 of ~924 rebalances","published, not asserted",True
G9 sweep instrument priced on every held row,SHY non-null on both panels: True,True,True
G5 the k dial BITES and turnover is MONOTONE DECREASING in k,"6 of 8 (panel, book, gross, salt) ladders   NON-MONOTONE: U56/CAND/g0.75/s0 [k1:4.39 k2:4.44 k4:3.77 k8:3.04]; U56/CAND/g1.00/s0 [k1:5.68 k2:5.74 k4:4.85 k8:3.83]",8 of 8,False
"G5b WHY G5 FAILS, stated rather than patched","on the UNCAPPED book (CAND) on U56, k=2 costs MORE turnover than k=1: freezing half the names for a week lets the other half's targets drift further before they are re-set, and the stale sleeve periodically has to be de-grossed (see G4b).  A rota is therefore NOT a turnover cut per se — it is one only once k is large enough that the saved rebalances outweigh the extra distance travelled by the ones that remain.","published, not asserted",True
G6 the ROTA's TRADED-name stub is EXACTLY ZERO at every k (the idea's structural claim),max over 104 rota books 0.000e+00  vs the DAMPER's mean traded-name stub 3.4694%,"0 for ROTA, > 0 for DAMP",True
G11 every name is fully re-set at least once in every window of k weeks,max observed gap / k over 104 rota books: 8 weeks at k up to 8,gap <= k,True
"G10 reproduces the committed CAP2 U56 headline (11.62%/1.2687/-14.81%, OOS 12.77%/1.3318) at k=1","read 11.62% / 1.2687 / -14.81%, OOS 12.77% / 1.3318 -> max|d| 3.95e-05",< 1e-3,True
"G10 reproduces the committed CAND U56 headline (12.59%/1.1934/-17.39%, OOS 13.85%/1.2397) at k=1","read 12.59% / 1.1934 / -17.39%, OOS 13.85% / 1.2397 -> max|d| 4.98e-05",< 1e-3,True
