claim_set,src,line,cell,loose_cell,strict_ok,basis,verdict,loose_verdict,measured_killer,measured_kind,text
NARROW,LEADERBOARD.md,1979,,False,False,TRANSFERRED,TRANSFERRED,,,,**idea 2 fails 4b on broad at 10 bps** (OOS Sharpe 0.892 vs SPY 0.882 but the CAGR floor binds) and both candidates fail at 25
NARROW,LEADERBOARD.md,2489,,False,False,TRANSFERRED,TRANSFERRED,,,,dies at 20 bps on the CAGR floor
NARROW,LEADERBOARD.md,3073,,False,False,TRANSFERRED,TRANSFERRED,,,,"**4b PASS @10 AND @25 bps, breakeven 47 bps** (CAGR floor binds first); 4a fail (DD) — **PARK not KEEP: one panel, monotone to the grid edge, not chooser-reachable**"
NARROW,LEADERBOARD.md,3283,U56/N=20,True,False,TRANSFERRED,TRANSFERRED,REFUTED,,,"**KILL of 'the CAGR floor binding first' as stated — it is a ONE-UNIVERSE result.** CAGR binds on u56 (margin +0.0228 at 0 bps -> **+0.0006 at 16.0**, ~0.14pp CAGR per bp)"
NARROW,LEADERBOARD.md,3353,,False,False,TRANSFERRED,TRANSFERRED,,,,"Across all 8 cells with a breakeven DD binds **0/8**, dropping the cap moves c* **0/8**, the CAGR floor **1/8**, both **1/8**"
NARROW,LEADERBOARD.md,3542,,False,False,TRANSFERRED,TRANSFERRED,,,,"**The levered book keeps PASSING 4b until ~8.3%/yr borrow but stops BEATING the book we already have at ~2.8%/yr — inside what a real account pays; 4 cells break even at 0 bps. 4b passers 199/1,728, 4a-vs-live 135/1,728, BOTH 0/1,728: lever"
NARROW,LEADERBOARD.md,3562,U56/N=20,True,False,TRANSFERRED,TRANSFERRED,REFUTED,,,**Weakness first: it dies at 25 bps on both panels** (CAGR floor; 4b margin at 10 bps is only **+0.61 pp** u56 / **+0.84 pp** broad) on **8.2x / 10.9x** annual turnover
NARROW,LEADERBOARD.md,3577,U56/N=20,True,False,TRANSFERRED,TRANSFERRED,REFUTED,,,u56 dies at **c* 16.70 bps** on the 4b CAGR floor (margin +0.61 pp @10)
NARROW,LEADERBOARD.md,3827,U56/N=20,True,False,TRANSFERRED,TRANSFERRED,REFUTED,,,"**KILLED BY ITS OWN NULL. 4a 0 of 216; 4b 27 of 216 (U56 10/72, B136 17/72, SMALL439 0/72), all at 10 bps, NOTHING at 25 bps — but at the protocol rung a turnover-matched RANDOM key clears 4b in 4-5 of 8 seeds at exactly the trim depths whe"
NARROW,LEADERBOARD.md,3832,,False,False,TRANSFERRED,TRANSFERRED,,,,"**4a 0 of 5, 4b 0 of 5** — every arm dies on the 4b CAGR floor (7.2-7.9% vs 10.66%, 5th reproduction of idea 330) and A_FLOOR/A_LIVE beat RULES v2 in BOTH halves, failing 4a only on drawdown by 40 / 87 bps"
NARROW,LEADERBOARD.md,6017,,False,False,TRANSFERRED,TRANSFERRED,,,,"On the GRID it is the **most-binding leg (27/54**, against H1 17, H2 18, OOS 18, DD 19) and **H_FREE PASSES at +27.8 pp**: CAGR-leg pass rate 0.500 → 0.778, full 4b **18 → 27 of 54** (10 bps; 21 → 31 of 62 at 25 bps)"
NARROW,CHANGELOG.md,424,,False,False,TRANSFERRED,TRANSFERRED,,,,"H_LEG FAILS.** The rival reading declared in advance — that a book binding on drawdown at 10 bps would die on the CAGR floor as cost rose — is wrong: cost reaches the **Sharpe** legs first, because SPY pays no turnover and the book's vol ba"
NARROW,2026-09-04_cost-sensitivity_cloud.result.md,50,,False,False,TRANSFERRED,TRANSFERRED,,,,"(broad binding: H2 at 8 bps, then OOS at 11), EWall's is **10.5 bps** (CAGR floor at 11 bps"
NARROW,2026-09-04_which-4b-bar-binds_B.result.md,127,U56/N=20,True,False,TRANSFERRED,TRANSFERRED,REFUTED,,,"that breaks at 25 bps is the CAGR floor. 4a: passes on broad at both costs, fails on u56"
NARROW,2026-09-05_sleeve-with-a-real-diversifier_B.result.md,64,,False,False,TRANSFERRED,TRANSFERRED,,,,"`top20 + 25% S4 matched` is a strictly better version of idea 26's PARK — cross-universe 4b, dominant on every risk axis, and it now survives both the rule-8 *visibility* problem and the one-year test — but it is still not a KEEP: rule 8 se"
