gate,value,target,pass_
G8 exactly two tuned parameters,"hold floor m, gross g",2,True
G0 >= 10y (U56),"17.7y, 56 columns, 4710 rows",>= 10y,True
"G9 all-NaN columns in U56 (idea 2332's MMC defect, carried forward)",0 dead: [] -> 56 priced names,"published, not asserted",True
G6 sweep SHY priced on every in-window row (U56),non-null 4450 of 4450,all,True
G0 >= 10y (B136),"17.7y, 136 columns, 4708 rows",>= 10y,True
"G9 all-NaN columns in B136 (idea 2332's MMC defect, carried forward)",1 dead: ['MMC'] -> 135 priced names,"published, not asserted",True
G6 sweep SHY priced on every in-window row (B136),non-null 4448 of 4448,all,True
"G1 m=0 reproduces the committed book (CAP2, U56, g=0.75)",max|dw| on decision rows 0.000e+00; max|dr| vs engine.backtest 0.000e+00; forced holds 0,< 1e-12 and 0 forced,True
"G1b off-decision-row weight gap is carried state, not a book difference (CAP2, U56, g=0.75)",max|dw| over ALL rows 4.400e-01 (the hold book carries last week's set; engine reads decision rows only),"published, not asserted",True
"G1 m=0 reproduces the committed book (CAP2, U56, g=1.00)",max|dw| on decision rows 0.000e+00; max|dr| vs engine.backtest 0.000e+00; forced holds 0,< 1e-12 and 0 forced,True
"G1b off-decision-row weight gap is carried state, not a book difference (CAP2, U56, g=1.00)",max|dw| over ALL rows 4.400e-01 (the hold book carries last week's set; engine reads decision rows only),"published, not asserted",True
"G1 m=0 reproduces the committed book (CAND, U56, g=0.75)",max|dw| on decision rows 0.000e+00; max|dr| vs engine.backtest 0.000e+00; forced holds 0,< 1e-12 and 0 forced,True
"G1b off-decision-row weight gap is carried state, not a book difference (CAND, U56, g=0.75)",max|dw| over ALL rows 7.500e-01 (the hold book carries last week's set; engine reads decision rows only),"published, not asserted",True
"G1 m=0 reproduces the committed book (CAND, U56, g=1.00)",max|dw| on decision rows 0.000e+00; max|dr| vs engine.backtest 0.000e+00; forced holds 0,< 1e-12 and 0 forced,True
"G1b off-decision-row weight gap is carried state, not a book difference (CAND, U56, g=1.00)",max|dw| over ALL rows 1.000e+00 (the hold book carries last week's set; engine reads decision rows only),"published, not asserted",True
G10 no lookahead (future tape x1.5 after 2018-06-29 leaves every earlier weight identical),max|dw| on rows <= 2018-06-29: 0.000e+00,< 1e-15,True
G12 the floor binds (no held spell shorter than m=42 trading days on U56),0 spells shorter than 42 days,0,True
"G2 reproduces idea 2336's committed CAP2 U56 headline (11.62%/1.2687/-14.81%, OOS 12.77%/1.3318, 3.51x)","read 11.62% / 1.2687 / -14.81%, OOS 12.77% / 1.3318, turnover 3.51x -> max|d| 3.95e-05",< 1e-3,True
"G3 reproduces idea 2300/2332's committed CAND U56 headline (12.5950%/1.1934/-17.3923%, OOS 13.8525%/1.2397)","read 12.5950% / 1.1934 / -17.3923%, OOS 13.8525% / 1.2397 -> max|d| 3.04e-06",< 1e-3,True
G4 no leverage anywhere (40 books),max row gross 1.000000000,<= 1+1e-9,True
G5 the hold dial BITES (turnover at m=63 strictly below m=0),"8 of 8 (panel, book, gross) cells",8 of 8,True
G5b turnover MONOTONE non-increasing along the whole m ladder,8 of 8 cells,"published, not asserted",True
G11 held-set fidelity is DELIBERATELY broken by this device (unlike idea 2328's band),"min fidelity over all 40 books 96.5974%, max forced-hold share 4.6989%","published, not asserted",True
