gate,value,target,pass_
G8 exactly two tuned parameters,"entry age a, gross g",2,True
G0 >= 10y (U56),"17.7y, 56 columns, 4710 rows",>= 10y,True
"G9 all-NaN columns in U56 (idea 2332's MMC defect, carried forward)",0 dead: [] -> 56 priced names,"published, not asserted",True
G6 sweep SHY priced on every in-window row (U56),non-null 4450 of 4450,all,True
G0 >= 10y (B136),"17.7y, 136 columns, 4708 rows",>= 10y,True
"G9 all-NaN columns in B136 (idea 2332's MMC defect, carried forward)",1 dead: ['MMC'] -> 135 priced names,"published, not asserted",True
G6 sweep SHY priced on every in-window row (B136),non-null 4448 of 4448,all,True
"G1 a=0 == an independent CAP/CAND construction (U56, CAP2, g=0.75)",max|dw| 0.000e+00; max|dr| vs engine.backtest 0.000e+00,< 1e-12,True
"G1 a=0 == an independent CAP/CAND construction (U56, CAP2, g=1.00)",max|dw| 0.000e+00; max|dr| vs engine.backtest 0.000e+00,< 1e-12,True
"G1 a=0 == an independent CAP/CAND construction (U56, CAND, g=0.75)",max|dw| 0.000e+00; max|dr| vs engine.backtest 0.000e+00,< 1e-12,True
"G1 a=0 == an independent CAP/CAND construction (U56, CAND, g=1.00)",max|dw| 0.000e+00; max|dr| vs engine.backtest 0.000e+00,< 1e-12,True
"G1 a=0 == an independent CAP/CAND construction (B136, CAP2, g=0.75)",max|dw| 0.000e+00; max|dr| vs engine.backtest 0.000e+00,< 1e-12,True
"G1 a=0 == an independent CAP/CAND construction (B136, CAP2, g=1.00)",max|dw| 0.000e+00; max|dr| vs engine.backtest 0.000e+00,< 1e-12,True
"G1 a=0 == an independent CAP/CAND construction (B136, CAND, g=0.75)",max|dw| 0.000e+00; max|dr| vs engine.backtest 0.000e+00,< 1e-12,True
"G1 a=0 == an independent CAP/CAND construction (B136, CAND, g=1.00)",max|dw| 0.000e+00; max|dr| vs engine.backtest 0.000e+00,< 1e-12,True
G10 no lookahead (future tape x1.5 after 2018-06-29 leaves every earlier weight identical),max|dw| on rows <= 2018-06-29: 0.000e+00,< 1e-15,True
G12 the age filter binds (admitted is a subset of the band state; every admission carries a in-band days),"0 subset violations, 0 short admissions over a in [5, 10, 21, 42]",0 and 0,True
U56 SPY bars,"CAGR 15.2308%  Sharpe 0.8897  MaxDD -33.7173%  halves 0.9566/0.8353  OOS 15.4548%/0.8831  4b bars: DD >= -20.2304%, CAGR >= 10.6616%","published, not asserted",True
U56 live RULES v2 bars,CAGR 8.6501%  Sharpe 1.2052  MaxDD -12.0550%  halves 1.2262/1.1897,"published, not asserted",True
B136 SPY bars,"CAGR 15.1229%  Sharpe 0.8844  MaxDD -33.7160%  halves 0.9571/0.8249  OOS 15.2572%/0.8737  4b bars: DD >= -20.2296%, CAGR >= 10.5860%","published, not asserted",True
B136 live RULES v2 bars,CAGR 7.9590%  Sharpe 1.0972  MaxDD -12.2411%  halves 1.2296/0.9669,"published, not asserted",True
"G2 reproduces the committed CAP2 U56 headline (11.62% / 1.2687 / -14.81%, OOS 12.77% / 1.3318, 3.51x)","read 11.62% / 1.2687 / -14.81%, OOS 12.77% / 1.3318, 3.51x; max|d| 3.617e-03",< 5e-3 (price-cache vintage residual),True
"G11 cross-lane reproduction of idea 2463's published AGE rows (lane C, run 54)","64 of 64 rows matched, max|d| over ['CAGR', 'Sharpe', 'MaxDD', 'H1', 'H2', 'OOS_CAGR', 'OOS_Sharpe'] = 6.661e-16","64 rows, < 1e-9",True
G4 no leverage (max row sum over all 40 weight paths),1.000000000,<= 1.0 + 1e-9,True
"G5 the dial bites (mean admitted names strictly falls with a, both panels)",B136: 93.22 -> 91.02 -> 88.44 -> 83.33 -> 74.99; U56: 38.45 -> 37.66 -> 36.74 -> 34.92 -> 31.89,strictly decreasing,True
"idea 2431's adoption bar (-31.0% turnover at dCAGR >= 0), cleared by",0 of 32 age arms; best turnover cut -25.55% at dCAGR -2.44 pp,"published, not asserted",True
pooled median pp of CAGR per 1% of turnover saved (this run's AGE reading),-0.0274 (idea 2463 published -0.064 for AGE pooled over its own strength set),"published, not asserted",True
RULE 8 age-dial pick distribution,"a=0: 24, a=5: 0, a=10: 0, a=21: 0, a=42: 8","published, not asserted",True
