gate,what,value,pass_
G1,1159's committed objects.csv is readable and has 108 rows,108,True
G2,of which N_BLOCK bands,36,True
G3,fast runner == engine.backtest (U56 W/H126/N=20),1.388e-17,True
G4,incumbent |MaxDD| vs 1159's committed 19.127562,19.127562,True
G5,control_index seed-deterministic,0,True
G6,X_IID destroys blocks (share of consecutive +1 steps ~ 1/T),0.00254,True
G7,X_NONE keeps blocks (share of consecutive +1 steps ~ (L-1)/L),0.9823,True
G8,"X_SHUFFLE1 keeps the MACHINERY but destroys ORDER: the index it draws is a block index (G7) composed with a permutation, so its own +1 share collapses",0.00256,True
G9,permuting the series preserves its marginal distribution exactly,0.0,True
G_REPLAY_OBS,observed values reproduce 1159's committed (36 of 36),3.553e-15,True
G_REPLAY_MED,null MEDIANS reproduce 1159's committed,0.0000,True
G_REPLAY_VER,INSIDE verdicts reproduce 1159's committed,36 of 36,True
