gate,value,target,pass_
G6 exactly two tuned parameters,"per-name cap, gross",2,True
G0 >= 10y (U56),"17.7y scored, 56 investable, 4710 rows",>= 10y,True
G0 >= 10y (B136),"17.7y scored, 136 investable, 4708 rows",>= 10y,True
"G2 at k=0 the eligible set IS baseline.band_state & priced, unmodified",0 differing cells; mean names IN 36.37,0,True
"G1 per-column replica == engine.backtest (live RULES v2, flat 10 bps, sweep off)",max|d| 0.000e+00,< 1e-12,True
G9 sweep instrument priced on every scored row,SHY non-null on both panels: True,True,True
G10 the realised perturbation size matches its nominal k,k=10: 10.00 bps; k=25: 25.00 bps; k=50: 50.01 bps; k=100: 100.00 bps; k=200: 199.99 bps; k=400: 399.85 bps,"|realised - k| < max(1, 2%k)",True
"G11 k=0 is the IDENTITY (noise switched OFF, not merely small)","disagreement 0.000e+00, realised sd 0.000e+00",exactly 0,True
"G8 the noise BITES, and monotonically (gate-state disagreement rises with k on both panels)",U56: 0.000%->0.250%->0.702%->1.482%->3.254%->5.669%->9.379%; B136: 0.000%->0.258%->0.588%->1.217%->2.560%->4.658%->8.089%,strictly increasing,True
"G12 HYSTERESIS PERSISTENCE (U56): mean length of a state disagreement, in trading days",k=10: 4.8d; k=25: 5.7d; k=50: 6.6d; k=100: 8.0d; k=200: 6.2d; k=400: 3.0d,"published, not asserted",True
G7 the comparands (SPY and live RULES v2) are BIT-IDENTICAL across every k and seed,max spread over all 3136 rows: 0.000e+00,0.0,True
G4 no leverage anywhere (max gross <= 1),"max over 784 paths: 1.000000 gross, 0.9550 max single name",<= 1+1e-12,True
G5 the cost charge is EXACTLY linear in the rung (2 x the 25 bps bill == the 50 bps bill),max|d| 3.469e-18,< 1e-15,True
"G3 k=0 reproduces the committed CAP2 (11.62%/1.2687/-14.81%, OOS 12.77%/1.3318) AND CAND (12.59%/1.1934/-17.39%, OOS 13.85%/1.2397) U56 headlines",CAP2 11.62%/1.2687/-14.81% OOS 12.77%/1.3318; CAND 12.59%/1.1934/-17.39% OOS 13.85%/1.2397 -> max|d| 4.98e-05,< 1e-3,True
