gate,value,passed
G0 U56 is a SUBSET of B136 (so overlap has no variation to carry an ordering),0.0,True
"G1 fast runner == engine.backtest (U56@A_NATIVE, N=20, H=126)",1.3877787807814457e-17,True
G1b gross_rescaler(1.0) == nrun (the bisection kernel is the same book),1.3877787807814457e-17,True
G2 CROSS-RUN 936/1071/1082 committed W/H126 N=20 triple,3.1831294189377246e-07,True
G3 CROSS-RUN reproduce 1106's 12 U56 EDGE_OPEN/ELIG figures (native tape),0.0,True
G4 CROSS-RUN reproduce 1106's 12 U56 book CAGR/MaxDD/turnover triples,0.0,True
G5 CROSS-RUN reproduce 1106's 12 B136 EDGE figures (its tape IS the common one),0.0,True
"G6 every book sits at gross 0.75 on every date it holds anything (cap INF, no de-grossing)",0.0,True
"G7 the VINTAGE pair shares K and the tape, so it replays identical null orderings",0.0,True
G8 every analysis instance carries all 12 coords,0.0,True
G9 the four steps sum to the committed gap,2.220446049250313e-16,True
