gate,description,value,pass_
G0,sample years >= 10 (PROTOCOL rule 1),15.65y,True
G1,"fast_run vs engine.backtest over the scored window, returns AND turnover, cells (w=1,G=.75) and (w=.5,G=.75); NaN masks identical (engine leaves 2 pre-window rows NaN)","0.000e+00, nan-mask match True",True
G2,derived 25 bps rung vs a fresh 25 bps engine run (cost axis exact),0.000e+00,True
G3,"corner w=1,G=0.75 replays baseline.rules_v2_weights on the LIVE frame over the window",0.000e+00,True
G4,"target gross is an EXACT convex combination of the two corners', and never exceeds G (the split creates and destroys no gross)",max dev 2.720e-14; max (gross - G) 0.000e+00,True
G5,tuned parameters,"2 (w, G) — cost rung, window and panel are published axes",True
G6,IS Sharpe on a masked array vs a HARD-TRUNCATED array (no 2017+ row reachable),0.000e+00,True
G7,grid cells published,99 of 99,True
G8,no shorting; max realised gross over the whole grid,0.716525 (min weight 0.0),True
G9,max |blend realised gross - twin realised gross| over every twin,3.331e-16,True
G10,turnover and realised gross published for every cell AND every twin,"99 grid rows, 99 twin rows",True
G11,"this script's LIVE G=1.00 row vs idea 1498's COMMITTED grid cell (U56, LIVE, G=1.00, F=0.00) — independent replication, different script, different frame build",max |diff| 2.614e-04; prior keep4b=True/keep4b_oos=True,True
