gate,value,target,pass_
TAPE STAMP U56,4708 rows 2008-01-02..2026-09-18,"published, not asserted",True
TAPE STAMP B136,4708 rows 2008-01-02..2026-09-18,"published, not asserted",True
TAPE STAMP SMALL,4203 rows 2010-01-04..2026-09-18,"published, not asserted",True
G0 min sample >= 10 years (rule 1),16.68,>= 10.0,True
"G4 exactly two tuned parameters (blend weight lambda, overlap statistic)",2,== 2,True
G1 cross-script replay of the committed 2026-09-04 U56 anchor (15.80%/1.1537/-19.13% full; 1.1857 OOS),max |dev| 3.72e-05 (got 0.1580/1.1537/-0.1913; OOS 1.1857),< 5e-3,True
G3 all 336 cells published (3 panels x [34 rungs + 26 pairs x 3 lambdas]),336,== 336,True
G2 the anchor rung is bit-identical wherever it appears (it sits on all 8 ladders),max |dret| 0.000e+00,< 1e-12,True
G6 no leverage: max realised weight sum over every rung and every blend,1.000000,<= 1.0 + 1e-9,True
G7 1509's MECHANISM REPLAYED: the lambda-blend of gross 0.50 and 1.00 equals the single gross rung at the blended exposure,max |dSharpe| 0.000e+00,< 5e-3,True
"G8 netted blend turnover <= naive + split-restoration at EVERY ROW of every blend (exact triangle inequality; the NAIVE charge alone does NOT bound it, because it omits the cost of restoring the capital split)",0 violations of 234 blends,== 0,True
G8b split-restoration cost omitted by the naive charge (mean bp/yr over all blends),0.57 bp/yr (max 3.45),"published, not asserted",True
G8c netted MINUS naive blend cost (mean bp/yr; positive = the naive ruler UNDER-charges a real blend),"+0.21 bp/yr (min -1.13, max +2.79)","published, not asserted",True
G9 the stop and the vol target are NON-ANTICIPATING (truncated-tape replay),max |dret| 0.000e+00,< 1e-12,True
"G10 deterministic recompute (L_H=63, one per panel)",max |dSharpe| 0.000e+00,< 1e-12,True
G5 the rule-8 chooser reads no row on or after 2017-01-01,"is_Sharpe computed on rows [WARMUP, searchsorted(2016-12-31)) only",by construction,True
