file,kind,op,metric,tie,line,src
2026-09-03_composite-vs-equal-weight.py,compare,<=,maxdd,PASS,344,"abs(m[""MaxDD""]) <= dd_lim"
2026-09-03_qqq-trend-only.py,compare,>=,maxdd,PASS,141,"m[""MaxDD""] >= mb[""MaxDD""]"
2026-09-03_qqq-trend-only.py,compare,>=,maxdd,PASS,143,"m[""MaxDD""] >= 0.6 * ms[""MaxDD""]"
2026-09-04_52w-high-proximity_C.py,compare,<=,maxdd,PASS,162,"abs(m[""MaxDD""]) <= 0.60 * abs(ms[""MaxDD""])"
2026-09-04_52w-high-proximity_C.py,compare,>=,maxdd,PASS,151,"metrics(r)[""MaxDD""] >= metrics(base)[""MaxDD""]"
2026-09-04_52w-high-proximity_C.py,compare,<=,maxdd,PASS,354,"abs(row.OOS_MaxDD) <= 0.60 * abs(so[""MaxDD""])"
2026-09-04_52w-high-proximity_C.py,compare,>=,maxdd,PASS,361,cand.IS_MaxDD >= -cap
2026-09-04_asset-class-dispersion_B.py,compare,<=,maxdd,PASS,247,"abs(m[""MaxDD""]) <= 0.60 * abs(ms[""MaxDD""])"
2026-09-04_asset-class-dispersion_B.py,compare,<=,maxdd,PASS,469,"cand[""IS_MaxDD""].abs() <= 0.60 * abs(ms_is[""MaxDD""])"
2026-09-04_asset-class-dispersion_B.py,compare,>=,maxdd,PASS,236,"metrics(r)[""MaxDD""] >= metrics(base)[""MaxDD""]"
2026-09-04_asset-class-dispersion_B.py,compare,<=,maxdd,PASS,488,"abs(m[""MaxDD""]) <= 0.60 * abs(ms_oos[""MaxDD""])"
2026-09-04_asset-class-dispersion_B.py,compare,<=,maxdd,PASS,491,"abs(m[""MaxDD""]) <= 0.60 * abs(ms_oos[""MaxDD""])"
2026-09-04_cost-sensitivity_cloud.py,compare,<=,maxdd,PASS,141,"abs(m[""MaxDD""]) <= 0.60 * abs(ms[""MaxDD""])"
2026-09-04_cost-sensitivity_cloud.py,compare,>=,maxdd,PASS,130,"metrics(r)[""MaxDD""] >= metrics(base)[""MaxDD""]"
2026-09-04_cost-sensitivity_cloud.py,compare,<=,maxdd,PASS,291,"abs(row.OOS_MaxDD) <= 0.60 * abs(mso[""MaxDD""])"
2026-09-04_cost-sensitivity_cloud.py,compare,>=,maxdd,PASS,297,df.IS_MaxDD >= -cap
2026-09-04_crypto-sleeve_C.py,compare,<=,maxdd,PASS,201,"abs(m[""MaxDD""]) <= 0.60 * abs(ms[""MaxDD""])"
2026-09-04_crypto-sleeve_C.py,compare,>=,maxdd,PASS,190,"metrics(r)[""MaxDD""] >= metrics(base)[""MaxDD""]"
2026-09-04_crypto-sleeve_C.py,compare,<=,maxdd,PASS,371,"abs(row.OOS_MaxDD) <= 0.60 * abs(so[""MaxDD""])"
2026-09-04_crypto-sleeve_C.py,compare,>=,maxdd,PASS,376,tab.IS_MaxDD >= -cap_dd
2026-09-04_drawdown-control_C.py,compare,>=,maxdd,PASS,195,"metrics(r)[""MaxDD""] >= metrics(base)[""MaxDD""]"
2026-09-04_drawdown-control_C.py,compare,>,maxdd,FAIL,442,X.vs_gm_MaxDD > 0
2026-09-04_drawdown-insurance-price-list_B.py,compare,>=,maxdd,PASS,265,"metrics(r)[""MaxDD""] >= metrics(base)[""MaxDD""]"
2026-09-04_drawdown-insurance-price-list_B.py,compare,>=,maxdd,PASS,456,cell.IS_dMaxDD >= 1.0
2026-09-04_drawdown-insurance-price-list_B.py,compare,>=,maxdd,PASS,469,cell.OOS_dMaxDD >= 1.0
2026-09-04_earnings-season-avoidance_cloud.py,compare,>=,maxdd,PASS,183,"row[""MaxDD""] >= base[""MaxDD""]"
2026-09-04_earnings-season-avoidance_cloud.py,compare,>=,maxdd,PASS,188,"row[""MaxDD""] >= 0.60 * spy[""MaxDD""]"
2026-09-04_eligible-fraction-vs-n_B.py,compare,<=,maxdd,PASS,146,"abs(m[""MaxDD""]) <= 0.60 * abs(ms[""MaxDD""])"
2026-09-04_eligible-fraction-vs-n_B.py,compare,>=,maxdd,PASS,137,"metrics(r)[""MaxDD""] >= metrics(base)[""MaxDD""]"
2026-09-04_eligible-fraction-vs-n_B.py,compare,>=,maxdd,PASS,362,sub.IS_MaxDD >= -is_dd_cap
2026-09-04_ensemble-plus-momentum_C.py,compare,>=,maxdd,PASS,159,"row[""MaxDD""] >= base[""MaxDD""]"
2026-09-04_ensemble-plus-momentum_C.py,compare,>=,maxdd,PASS,164,"row[""MaxDD""] >= 0.60 * spy[""MaxDD""]"
2026-09-04_exit-schedule-vs-entry-schedule_cloud.py,compare,>=,maxdd,PASS,323,sub.IS_MaxDD >= 0.60 * m3(spy_is)[2]
2026-09-04_gross-matched-turnover-constraints_B.py,compare,>=,maxdd,PASS,270,"metrics(r)[""MaxDD""] >= metrics(base)[""MaxDD""]"
2026-09-04_gross-matched-turnover-constraints_B.py,compare,==,maxdd,PASS,424,np.sign(o.dMaxDD_pp) == np.sign(n_.dMaxDD_pp)
