gate,value,target,pass_
G_H_NAN exactly 2 NaN return rows at every one of the 24 cells,24 of 24,24 of 24,True
G_H_NAN worst NaN row index over the whole grid,61,< 260,True
G2 REPAIRED carries zero NaN (returns+weights+turnover) at all 24 cells,0,0,True
"G3 AS PRE-DECLARED: ENGINE == REPAIRED BIT-FOR-BIT after the last NaN row, 24 cells",4.857e-17,0.000e+00,False
G3a EXACT RESTATEMENT: ENGINE == REPAIRED after the last NaN row to float64 noise,4.857e-17,<= 1e-15,True
G3b MECHANISM: pandas DataFrame.sum(axis=1) moves NaN-FREE rows when the frame carries a NaN anywhere (this is why G3 fails and by how much),synthetic NaN-free-row deviation 1.776e-15,> 0 and <= 1e-14,True
G_H_BLIND ONE NaN injected at a POST-warm-up row into a CLEAN difference is invisible to the skipna basis and caught by the strict one,skipna 2.776e-17 -> 2.776e-17 (unchanged); strict 2.776e-17 -> nan,"skipna unchanged, strict nan",True
"G_H_BLIND the record's OWN committed gate vector (FAST - ENGINE) already carries NaN, so every skipna gate in the record has been reading past NaN all along","nan_cells 2, skipna reads 2.776e-17, strict reads nan",nan_cells > 0 and strict == nan,True
G8 census non-empty and the three classes partition it,"459 lines, 459 classified","equal, > 0",True
G_H_CENS a MAJORITY of committed gate lines are on the skipna basis,279 of 459,> 50%,True
"G_H_CLEAN no NaN cell OUTSIDE the warm-up in any runner difference, any panel/cadence",0,0,True
G_H_CLEAN post-warm-up max |FAST - ENGINE| over the whole grid,8.327e-17,<= 1e-12,True
"G1 (ENGINE, U56, W) replays idea 1350's committed head-vintage anchor 15.80% / 1.1537 / -19.13%",0.1580/1.1537/-0.1913 dev +0.0000/-0.0000/+0.0000,|dSharpe| <= 0.005,True
G7 determinism (headline ENGINE cell recomputed bit for bit),0.000e+00,0.000e+00,True
G_H_BOOK the three runners give IDENTICAL 4a and 4b verdicts on every panel,identical,identical,True
G_H_BOOK worst within-panel full-sample Sharpe spread across runners,2.220e-16,<= 1e-12,True
G4 every capital cell published,27 rows (9 cells x 3 bases),27,True
"G5 exactly two tuned parameters (RUNNER, BASIS); PANEL/CADENCE/GROSS/COST reported, never chosen on",2,2,True
G6 the rule-8 chooser reads no row on or after 2017-01-01,IS window ends 2016-12-30,< 2017-01-01,True
G_H_PICK rule-8 chooser over RUNNER costs exactly 0.0000 of OOS Sharpe on every panel,0.000e+00,0.000e+00,True
