gate,value,target,pass_
TAPE STAMP U56,4708 rows 2008-01-02..2026-09-18,"published, not asserted",True
TAPE STAMP B136,4708 rows 2008-01-02..2026-09-18,"published, not asserted",True
TAPE STAMP SMALL,4203 rows 2010-01-04..2026-09-18,"published, not asserted",True
G0 min sample >= 10 years (rule 1),16.68,>= 10.0,True
"G4 exactly two tuned parameters (window w, target pass rate q)",2,== 2,True
p* U56,0.966767,"published, not asserted",True
G1 cross-script replay of the committed 2026-09-04 U56 anchor (15.80%/1.1537/-19.13% full; 1.1857 OOS),max |dev| 3.72e-05 (got 0.1580/1.1537/-0.1913; OOS 1.1857),< 5e-3,True
p* B136,0.968423,"published, not asserted",True
p* SMALL,0.881267,"published, not asserted",True
G3 all 240 cells published (3 panels x 4 statistics x 4 windows x 5 pass rates),240,== 240,True
G2 the VOL / w=20 / q=p* cell recovers threshold 0.60 and is BIT-IDENTICAL to the frozen incumbent,"threshold 0.600000, max |dret| 0.000e+00",|thr - 0.60| < 5e-3 and |dret| < 1e-12,True
G6 no leverage: max realised weight sum,0.750000,<= 1.0 + 1e-9,True
"G7 every gate statistic is NON-ANTICIPATING (truncated-tape replay, all 4 statistics)",max |dstat| 0.000e+00,< 1e-12,True
G8 the pass rate really is matched (worst |realised IS pass share - q| over 240 cells),0.00003,< 0.01,True
"G9 deterministic recompute (SEMI0 / w=40 / q=p*, one per panel)",max |dSharpe| 0.000e+00,< 1e-12,True
"G10 SEMIM^2 + UPM^2 == VOL^2 * (w-1)/w pointwise (the decomposition is exact; the factor is pandas' ddof=1 in the INCUMBENT'S OWN rolling std, which VOL must keep)",max |dev| 2.842e-14,< 1e-12,True
G5 no threshold and no chooser reads a row on or after 2017-01-01,"quantiles and is_Sharpe computed on rows [WARMUP, searchsorted(2016-12-31)) only",by construction,True
