file,rows,dial,keys,n_treated,n_unpaired,carried,incremental,destroyed,both_fail,overlay_pass4b,incr_share
2026-09-04_drawdown-control_C.grid.csv,882,arm,uni|book|cost,864,0,46,0,242,576,46,0.0
2026-09-04_drawdown-insurance-price-list_B.grid.csv,204,arm,uni|book|cost|gross,20,172,0,0,0,20,0,
2026-09-04_gross-matched-turnover-constraints_B.grid.csv,368,fam,universe|book|cost|gross,0,336,0,0,0,0,0,
2026-09-04_momentum-plus-quality-proxy_cloud.grid.csv,312,arm,uni|conv|bps|gross,36,180,2,0,14,20,2,0.0
2026-09-04_sharpe-bound-book-change_cloud.grid.csv,96,arm,uni|bps|gross,0,92,0,0,0,0,0,
2026-09-04_vol-cap-as-a-satellite-clause_B.grid.csv,48,mode,book|universe,36,0,18,2,0,16,20,0.1
2026-09-05_absorbing-state-audit_B.ddctl.csv,1452,arm,uni|book|cost,1440,0,48,0,192,1200,48,0.0
2026-09-05_absorbing-state-audit_B.stop.csv,396,arm,uni|book|cost,384,0,21,0,43,320,21,0.0
2026-09-05_cagr-floor-calibration_B.calibration.csv,6426,arm,panel|book|cost,6048,0,413,148,931,4556,561,0.2638146167557932
2026-09-05_cagr-floor-calibration_B.grid.csv,306,arm,panel|book|cost,288,0,0,29,0,259,29,1.0
2026-09-05_crisis-depth-as-the-price-denominator_B.grid.csv,306,arm,panel|book|cost,288,0,0,29,0,259,29,1.0
2026-09-05_de-gross-vs-reweight-across-gates_cloud.grid.csv,924,gate,panel|book|conv|cost|gross,0,900,0,0,0,0,0,
2026-09-05_defensive-class-census_B.grid.csv,2244,arm,panel|book|cost,2112,0,42,94,198,1778,136,0.6911764705882353
2026-09-05_does-a-null-column-change-any-published-verdict_cloud.verdicts.csv,906,kind,panel|cost,900,0,135,41,15,709,176,0.23295454545454544
2026-09-05_does-a-random-screen-de-concentrate-just-as-well_B.corpus.csv,1003,arm,corpus|panel|cost|n|g,558,352,72,26,30,430,98,0.2653061224489796
2026-09-05_execution-lag-sensitivity-of-the-price-list_C.grid.csv,612,arm,uni|book|cost|gross,80,496,0,0,0,80,0,
2026-09-05_four-way-gate-spread-is-a-weighting-convention_cloud.grid.csv,1440,gate,panel|book|conv|g|bps,1080,0,17,75,10,978,92,0.8152173913043478
2026-09-05_four-way-gate-spread-is-a-weighting-convention_cloud.walkforward.csv,216,gate,panel|conv|bps,162,0,0,17,0,145,17,1.0
2026-09-05_is-Calmar-immunity-general_C.grid.csv,306,arm,panel|book|cost,288,0,0,29,0,259,29,1.0
2026-09-05_is-the-IS-4b-screen-a-one-cell-accident_C.corpus.csv,1003,arm,corpus|panel|cost|n|g,558,352,72,26,30,430,98,0.2653061224489796
2026-09-05_is-the-defensive-class-one-book_cloud.census.csv,138,arm,panel|book|conv|cost,36,96,0,0,0,36,0,
2026-09-05_is-the-defensive-class-one-book_cloud.grid.csv,816,arm,panel|book|conv|cost,288,480,9,3,9,267,12,0.25
2026-09-05_is-the-ladder-even-a-candidate_C.corpus.csv,306,arm,panel|book|cost,288,0,0,29,0,259,29,1.0
2026-09-05_price-list-tier-bar_B.grid.csv,306,arm,panel|book|cost,288,0,0,29,0,259,29,1.0
2026-09-05_publish-the-failing-bar-not-the-required-gross_cloud.walkforward.csv,24,arm,n,18,0,15,0,3,0,15,0.0
2026-09-05_quote-the-lift-not-the-rate_cloud.grid.csv,306,arm,panel|book|cost,288,0,0,29,0,259,29,1.0
2026-09-05_quote-the-lift-not-the-rate_cloud.walkforward.csv,90,arm,panel|book|cost,53,0,0,13,0,40,13,1.0
2026-09-05_relative-priceability-floor_C.grid.csv,306,arm,panel|book|cost,288,0,0,29,0,259,29,1.0
2026-09-05_sleeve-f-that-clears-the-floor_cloud.grid.csv,884,arm,panel|book|conv|cost,312,520,46,12,44,210,58,0.20689655172413793
2026-09-05_the-screen-is-a-book-size-rule_cloud.corpus.csv,1003,arm,corpus|panel|cost|n|g,558,352,72,26,30,430,98,0.2653061224489796
2026-09-05_v1u-small-negative-price_B.concentration.csv,32,arm,n,24,0,0,0,0,24,0,
2026-09-05_v1u-small-negative-price_B.grid.csv,11,arm,,10,0,0,0,0,10,0,
