gate,value,target,pass_
G6 exactly two tuned parameters,"slope lookback h, slope threshold s",2,True
G0 >= 10y (U56),"17.7y, 56 investable, 4710 rows",>= 10y,True
G0 >= 10y (B136),"17.7y, 136 investable, 4708 rows",>= 10y,True
weekly rebalance fires over the U56 tape,978 of 4710 rows,"published, not asserted",True
"G2 per-column replica == engine.backtest (live book, W)",max|d| 0.000e+00,< 1e-12,True
G9 no lookahead: slope mask on a truncated tape == full-tape mask on the prefix,"0 disagreeing cells over 2 (h, s) cells x 3000 rows",0,True
G1 the OFF cell's weights == an independent CAP2 build (U56),max|dw| 0.000e+00,< 1e-12,True
G3 no leverage (all 40 books),max held row sum 1.000000000,<= 1+1e-9,True
"G4 IN-days non-increasing in s at every (panel, h)",6 of 6 cells,6 of 6,True
"G5 every (h, s) IN set is a SUBSET of OFF's",20 of 20 cells,20 of 20,True
G7 sweep instrument priced on every held row,SHY non-null on all panels: True,True,True
"G8 reproduces idea 2322's committed U56 CAP2/W headline (11.58%/1.2643/-14.81%, OOS 12.70%/1.3243, turnover 3.51/yr)","read 11.62% / 1.2687 / -14.81%, OOS 12.77% / 1.3318, turnover 3.51/yr -> max|d| 7.54e-04",< 1e-3,True
