gate,value,target,pass_
G1 fast runner == engine.backtest on the decision-time frame,2.0816681711721685e-17,1e-10,True
G2 live RULES v2 U56 MaxDD == committed -12.05%,-0.120549,-0.1205,True
G3 the four anchor keys are ONE book (bit for bit),0.0,0.0,True
G4 distinct candidate set size (1237's 19),19.0,19.0,True
G5 non-incumbent candidate set size (1237's 18),18.0,18.0,True
G6a 1237's G12 replay — worst GROSS gap (max over 3 panels),0.004,0.004,True
G6b 1237's G12 replay — smallest NON-GROSS gap (max over 3 panels),0.0175,0.0171 +/- 5e-4 (tolerance stated: the exact replay is G6d),True
G6c the pooled partition is 9 GROSS clones and 9 non-clones,9/9,9/9,True
G6d 1239's committed 0.0171 replays on the PINNED cache at its own tape end,0.0189,0.0171,False
G6e 1239's committed 0.0171 is inside the 25-session tape-end range at all,0.0164-0.0211,0.0171 in range,True
G7 union-find single linkage == 1239's 1-D sort routine on every panel/ladder,0.0,0.0,True
G8 pooling rules are ordered P_MIN <= P_MEDIAN <= P_MAX elementwise,True,True,True
G9 EXACT claims are pooling-immune (max_p d = 0 => d = 0 on every panel),True,True,True
