gate,value,target,pass_
TAPE STAMP,"4203 rows 2010-01-04..2026-09-18, U56 56 + SMALL 665 = 721 traded columns","published, not asserted",True
G0 min sample >= 10 years (rule 1),16.68,>= 10.0,True
G5 exactly two tuned parameters (w x G),15 cells = 5 w-rungs x 3 G-rungs,2 dials,True
"G1 fast_run vs engine.backtest, RETURNS (max |dev| over finite rows, corner + blend)",1.214e-16,< 1e-12,True
"G1b fast_run vs engine.backtest, TURNOVER (max |dev|)",2.082e-16,< 1e-12,True
G2 DERIVED 25 bps rung vs a fresh 25 bps engine run (max |dev|),1.388e-17,< 1e-12,True
"G1c engine rows EXCLUDED as non-finite (pre-first-rebalance, rows 0 and 5 of 4203, 258 rows before the scored sample starts)",4 of 8406,"published, not asserted",True
"G3 (w=1.00, G=0.75) replays baseline.rules_v2_weights on U56 (max |dev|)",1.388e-17,< 1e-12,True
"G3b same replay over the SCORED slice only (rows 260+), no exclusions",1.388e-17,< 1e-12,True
Q0 in-band share U56 / SMALL (FULL),0.7051 / 0.5482,"published, not asserted",True
"Q0 realised mean gross at target 0.75, U56 / SMALL",0.5293 / 0.4113,"published, not asserted",True
Q0 PREMISE (SMALL realises lower gross than U56 at matched target),True,"published, not asserted",True
G8 no leverage / no shorting: max realised TARGET gross,0.982143,<= 1.000001,True
"G4 realised-gross match, max |mean_gross(twin) - mean_gross(cell)| over feasible twins",1.998e-14,< 1e-10,True
G4b twins INFEASIBLE without leverage (target gross would exceed 1.00),"13 of 90  e.g. [('w=0.25 G=1.00', 'S', 'FULL'), ('w=0.25 G=1.00', 'S', 'IS'), ('w=0.25 G=1.00', 'S', 'OOS'), ('w=0.50 G=1.00', 'S', 'FULL')]","published, not asserted",True
G7 every cell x slice x cost rung published,180 rows,== 180,True
"G11 |dSharpe| of a pure constant de-gross, max over 6 (corner x gross fraction) cells","0.0004  -> a de-gross moves CAGR and MaxDD and leaves SHARPE ~fixed, so the re-gross component of any credit can only live on the CAGR / MaxDD axes","published, not asserted",True
G6 no chooser reads a row on or after 2017-01-01,"IS slice ends 2016-12-30, 1502 rows",< 2017-01-01,True
G9 turnover per cell,"published above, 15 of 15","published, not asserted",True
G10 realised mean gross + in-band share,published above (Q0 and G9 blocks),"published, not asserted",True
