gate,check,value,pass_
G1,fast runner == engine.backtest (U56 W/H126/N=20),1.3877787807814457e-17,True
G2,CROSS-RUN the committed U56 W/H126/N=20 triple,0.0016222226940012519,True
G3,SPY OOS triple,0.0028937770933026297,True
G4,live RULES v2 MaxDD == committed -12.05%,4.9488215128346e-05,True
G5,determinism of the SMALL pipeline,0.0,True
G6,N_BLOCK at L=1 IS N_IID bit for bit (1162's identity),0.0,True
G7,perm_index rows are exact permutations for all 3 nulls,0.0,True
G8,R_CENTER forces each draw's total log return onto the observed,0.0,True
G11,boot_maxdd on the identity index == the observed |MaxDD|,1.4210854715202004e-14,True
G9a,1159's committed file carries 108 cells,0.0,True
G9b,1159's committed 'below at 89 of 108' reproduced from its own file,0.0,True
G9c,the queue's median ratios 0.936 / 0.851 / 0.964 reproduced from that file,0.00026906140083227115,True
G9,R_NONE reproduces 1159's committed OBSERVED values (108 cells),3.552713678800501e-15,True
G10,R_NONE reproduces 1159's committed NULL MEDIANS on its own seeds,3.552713678800501e-15,True
G12,OBJ_MAXDD's 4 ladders per panel ARE the same book (observed identical),0.0,True
